team,date,r,hr,rbi,sb,bb,avg,ops,w,k,era,whip,qs,sv+h,total,bat,pitch,rank,b_rank,p_rank
FightinHorse&Buggies,2024-04-15,9,11,11,7,7,3,4,13,11,14,14,12,4,120,52,68,5,7,1
Forever Jung,2024-04-15,12,14,14,13,12,13,12,14,13,5,8,6,12,148,90,58,1,1,4
Friends O'Clyde,2024-04-15,11,7,4,11,5,9,9,8,10,12,13,12,11,122,56,66,4,5,2
Haders gonna Hate,2024-04-15,3,3,2,2,2,2,3,6,3,3,4,4,3,40,17,23,13,14,12
Hobo Ken,2024-04-15,7,9,3,8,8,5,6,6,6,13,7,12,4,94,46,48,8,9,6
Mighty Banshees,2024-04-15,14,13,13,4,6,12,14,12,9,9,5,6,7,124,76,48,3,2,6
Nola's Ark,2024-04-15,10,12,12,5,14,5,11,4,2,1,1,3,4,84,69,15,9,4,14
The Flying Rutschmen,2024-04-15,6,2,5,8,4,11,8,8,8,4,5,6,9,84,44,40,9,10,9
Lux Æterna,2024-04-15,8,9,10,8,9,5,6,2,12,11,8,6,2,96,55,41,7,6,8
Ya Gotta Beliebe,2024-04-15,13,3,6,12,1,8,5,8,4,10,12,10,7,99,48,51,6,8,5
Rochelle Rochelle the Musical,2024-04-15,4,6,6,3,3,10,9,4,5,8,3,2,9,72,41,31,11,11,10
HaberMetrics,2024-04-16,1,4,8,1,10,4,4,2,9,7,12,5,1,68,32,36,12,12,9
Boba Chette,2024-04-16,1,1,1,6,11,1,1,1,1,2,2,1,12,41,22,19,14,13,13
Bug Monty,2024-04-16,5,7,10,14,12,14,13,11,14,8,11,11,11,141,75,66,2,2,3
FightinHorse&Buggies,2024-04-16,7,9,11,6,8,2,2,13,11,14,13,12,4,112,45,67,5,9,2
Forever Jung,2024-04-16,11,14,14,13,14,13,14,14,13,4,6,7,12,149,93,56,1,1,4
Friends O'Clyde,2024-04-16,12,9,4,11,6,9,10,10,10,12,13,12,12,130,61,69,3,5,1
Haders gonna Hate,2024-04-16,3,4,2,2,2,3,5,6,3,3,4,4,3,44,21,23,13,14,12
Hobo Ken,2024-04-16,6,11,2,8,7,8,8,6,8,13,8,12,6,103,50,53,6,7,5
Mighty Banshees,2024-04-16,14,12,13,4,5,12,12,12,5,9,6,7,8,119,72,47,4,3,6
Nola's Ark,2024-04-16,10,12,12,4,13,6,11,2,2,1,1,3,4,81,68,13,9,4,14
The Flying Rutschmen,2024-04-16,9,2,5,10,3,11,7,6,4,5,4,5,8,79,47,32,10,8,10
Lux Æterna,2024-04-16,7,7,9,8,9,5,6,2,12,11,10,7,2,95,51,44,7,6,7
Ya Gotta Beliebe,2024-04-16,13,3,6,12,1,7,3,6,5,10,9,7,6,88,45,43,8,9,8
Rochelle Rochelle the Musical,2024-04-16,4,6,7,3,4,10,9,2,5,6,3,2,8,69,43,26,11,11,11
HaberMetrics,2024-04-17,2,6,9,1,10,5,6,2,6,6,12,4,1,70,39,31,11,11,10
Boba Chette,2024-04-17,1,1,1,7,12,1,1,1,1,1,2,1,12,42,24,18,14,13,13
Bug Monty,2024-04-17,5,7,9,14,11,14,13,11,14,8,12,11,11,140,73,67,2,3,2
FightinHorse&Buggies,2024-04-17,6,7,11,7,8,2,2,14,12,14,14,14,4,115,43,72,5,10,1
Forever Jung,2024-04-17,11,14,14,13,14,13,14,13,13,4,5,6,14,148,93,55,1,1,4
Friends O'Clyde,2024-04-17,12,11,8,11,6,9,11,7,8,13,11,11,13,131,68,63,3,4,3
Haders gonna Hate,2024-04-17,2,3,2,2,2,3,3,10,3,3,4,4,2,43,17,26,13,14,12
Hobo Ken,2024-04-17,6,10,2,5,7,7,7,7,10,12,6,13,4,96,44,52,6,9,5
Mighty Banshees,2024-04-17,14,13,13,5,5,12,12,11,5,9,6,8,7,120,74,46,4,2,7
Nola's Ark,2024-04-17,9,11,12,4,13,5,10,2,2,2,1,3,4,78,64,14,10,5,14
The Flying Rutschmen,2024-04-17,10,2,4,7,3,11,9,6,9,5,8,8,9,91,46,45,8,6,8
Lux Æterna,2024-04-17,6,7,7,7,9,4,5,2,11,11,10,6,3,88,45,43,9,7,9
Ya Gotta Beliebe,2024-04-17,12,3,5,12,1,8,4,7,7,10,8,8,7,92,45,47,7,7,6
Rochelle Rochelle the Musical,2024-04-17,4,5,6,3,4,9,8,2,4,7,3,2,9,66,39,27,12,11,11
HaberMetrics,2024-04-18,3,6,10,1,10,5,6,2,6,5,9,4,1,68,41,27,11,11,10
Boba Chette,2024-04-18,1,1,1,6,12,1,1,1,1,1,2,1,11,40,23,17,14,13,13
Bug Monty,2024-04-18,5,7,9,14,11,14,14,11,14,8,13,11,11,142,74,68,2,3,2
FightinHorse&Buggies,2024-04-18,8,9,11,6,7,2,2,14,12,14,13,13,4,115,45,70,5,7,1
Forever Jung,2024-04-18,11,14,13,12,14,13,13,13,13,4,5,6,14,145,90,55,1,1,4
Friends O'Clyde,2024-04-18,12,12,8,11,6,10,11,6,8,11,7,11,13,126,70,56,3,4,3
Haders gonna Hate,2024-04-18,2,4,2,2,2,3,3,9,3,3,4,4,2,43,18,25,13,14,11
Hobo Ken,2024-04-18,6,10,2,5,7,7,8,9,9,13,7,13,4,100,45,55,6,7,4
Mighty Banshees,2024-04-18,14,13,13,6,5,12,12,11,5,9,5,8,7,120,75,45,4,2,9
Nola's Ark,2024-04-18,9,11,11,4,13,5,10,2,2,2,1,3,4,77,63,14,10,5,14
The Flying Rutschmen,2024-04-18,10,2,4,6,3,11,8,6,9,6,9,10,7,91,44,47,8,9,6
Lux Æterna,2024-04-18,6,7,6,6,9,4,4,2,11,12,12,6,3,88,42,46,9,10,8
Ya Gotta Beliebe,2024-04-18,12,3,7,12,1,8,5,6,7,10,9,8,7,95,48,47,7,6,6
Rochelle Rochelle the Musical,2024-04-18,4,5,5,3,4,9,7,2,4,7,3,2,7,62,37,25,12,12,11
HaberMetrics,2024-04-19,3,6,11,1,10,8,6,3,6,6,12,6,1,79,45,34,10,9,10
Boba Chette,2024-04-19,1,1,1,8,11,1,1,1,1,2,2,1,11,42,24,18,13,13,13
Bug Monty,2024-04-19,5,8,9,14,12,14,13,11,14,8,14,11,11,144,75,69,1,2,1
FightinHorse&Buggies,2024-04-19,7,9,10,10,9,3,2,14,10,14,13,13,4,118,50,68,5,6,2
Forever Jung,2024-04-19,11,14,14,13,13,13,14,11,13,4,4,4,14,142,92,50,2,1,5
Friends O'Clyde,2024-04-19,12,10,8,11,5,9,11,10,9,11,11,11,13,131,66,65,3,4,3
Haders gonna Hate,2024-04-19,1,3,2,2,3,2,3,8,3,3,4,4,2,40,16,24,14,14,12
Hobo Ken,2024-04-19,8,12,3,4,7,6,10,8,7,13,8,13,4,103,50,53,6,6,4
Mighty Banshees,2024-04-19,14,13,13,8,4,11,12,11,5,9,6,6,7,119,75,44,4,2,9
Nola's Ark,2024-04-19,8,10,12,5,13,5,8,2,2,1,1,3,6,76,61,15,11,5,14
The Flying Rutschmen,2024-04-19,10,2,5,5,2,12,9,6,10,5,6,10,9,91,45,46,8,9,7
Lux Æterna,2024-04-19,5,7,6,5,8,4,4,5,12,12,9,6,2,85,39,46,9,11,7
Ya Gotta Beliebe,2024-04-19,13,3,7,12,1,6,5,6,7,10,9,9,7,95,47,48,7,8,6
Rochelle Rochelle the Musical,2024-04-19,4,5,4,3,6,10,7,3,4,7,3,2,9,67,39,28,12,11,11
HaberMetrics,2024-04-20,3,4,11,1,10,9,7,2,6,7,12,6,1,79,45,34,9,10,10
Boba Chette,2024-04-20,1,1,1,6,11,1,1,1,1,3,2,1,11,41,22,19,14,13,13
Bug Monty,2024-04-20,7,8,7,14,12,14,13,12,14,10,13,11,11,146,75,71,2,2,1
FightinHorse&Buggies,2024-04-20,6,9,12,9,9,2,3,14,12,14,13,12,4,119,50,69,5,7,2
Forever Jung,2024-04-20,11,14,14,13,14,13,14,13,13,4,5,5,14,147,93,54,1,1,5
Friends O'Clyde,2024-04-20,11,11,8,11,5,8,10,10,10,8,8,12,13,125,64,61,3,4,3
Haders gonna Hate,2024-04-20,2,3,3,2,3,4,4,7,3,2,3,4,3,43,21,22,13,14,12
Hobo Ken,2024-04-20,8,12,2,4,7,6,9,9,8,13,11,12,4,105,48,57,6,8,4
Mighty Banshees,2024-04-20,14,13,13,6,5,11,12,10,5,11,6,6,9,121,74,47,4,3,6
Nola's Ark,2024-04-20,8,10,10,8,13,5,6,2,2,1,1,2,6,74,60,14,10,5,14
The Flying Rutschmen,2024-04-20,10,2,5,9,2,12,11,5,9,5,7,10,8,95,51,44,7,6,7
Lux Æterna,2024-04-20,5,4,4,4,8,2,2,5,11,12,8,6,2,73,29,44,11,12,7
Ya Gotta Beliebe,2024-04-20,11,4,9,12,1,6,5,7,7,9,8,6,6,91,48,43,8,8,9
Rochelle Rochelle the Musical,2024-04-20,4,4,6,3,4,10,8,4,4,6,4,2,9,68,39,29,12,11,11
HaberMetrics,2024-04-21,2,4,10,1,10,7,6,2,5,6,12,6,1,72,40,32,10,10,11
Boba Chette,2024-04-21,1,1,1,4,11,1,1,1,1,3,2,1,11,39,20,19,14,14,12
Bug Monty,2024-04-21,9,9,7,14,12,14,13,11,14,10,13,11,12,149,78,71,2,2,1
FightinHorse&Buggies,2024-04-21,5,7,11,9,8,3,3,13,12,14,14,12,3,114,46,68,5,9,2
Forever Jung,2024-04-21,11,14,14,13,14,13,14,14,13,5,7,6,14,152,93,59,1,1,3
Friends O'Clyde,2024-04-21,13,12,9,11,6,10,11,10,6,9,9,12,12,130,72,58,3,4,4
Haders gonna Hate,2024-04-21,3,3,3,2,3,5,4,5,3,2,3,3,3,42,23,19,13,13,12
Hobo Ken,2024-04-21,8,11,2,4,7,6,9,8,8,13,10,12,5,103,47,56,6,8,5
Mighty Banshees,2024-04-21,14,12,13,7,4,11,12,11,9,11,7,6,9,126,73,53,4,3,6
Nola's Ark,2024-04-21,7,9,8,7,12,4,5,2,2,1,1,2,5,65,52,13,12,6,14
The Flying Rutschmen,2024-04-21,10,2,4,10,2,12,10,5,10,4,4,6,7,86,50,36,8,7,8
Lux Æterna,2024-04-21,5,7,5,6,8,2,2,5,11,12,11,6,2,82,35,47,9,12,7
Ya Gotta Beliebe,2024-04-21,12,6,12,12,1,8,7,8,4,8,4,5,7,94,58,36,7,5,8
Rochelle Rochelle the Musical,2024-04-21,4,4,6,3,5,8,8,4,6,7,4,4,9,72,38,34,10,11,10
HaberMetrics,2024-04-22,2,4,11,1,11,8,6,2,5,6,12,9,1,78,43,35,10,10,9
Boba Chette,2024-04-22,1,1,1,4,10,1,1,1,1,3,2,1,11,38,19,19,14,14,13
Bug Monty,2024-04-22,8,9,6,14,12,14,13,10,14,10,13,10,11,144,76,68,2,2,2
FightinHorse&Buggies,2024-04-22,5,8,11,9,8,2,3,13,12,14,14,14,2,115,46,69,5,9,1
Forever Jung,2024-04-22,11,14,14,13,14,13,14,13,13,5,9,10,13,156,93,63,1,1,3
Friends O'Clyde,2024-04-22,13,11,8,11,6,7,10,10,9,9,9,13,13,129,66,63,3,4,3
Haders gonna Hate,2024-04-22,3,3,3,2,2,4,4,9,3,4,4,4,5,50,21,29,13,13,10
Hobo Ken,2024-04-22,9,11,2,6,6,6,9,7,10,11,8,12,5,102,49,53,6,8,5
Mighty Banshees,2024-04-22,14,13,13,8,4,11,12,10,7,12,6,6,9,125,75,50,4,3,6
Nola's Ark,2024-04-22,7,9,9,6,12,5,7,2,2,1,1,2,4,67,55,12,12,5,14
The Flying Rutschmen,2024-04-22,10,2,4,10,3,12,11,5,6,2,4,6,5,80,52,28,8,7,12
Lux Æterna,2024-04-22,5,7,4,5,9,2,2,5,11,13,9,6,2,80,34,46,8,12,7
Ya Gotta Beliebe,2024-04-22,11,6,10,12,1,8,5,7,8,7,6,4,5,90,53,37,7,6,8
Rochelle Rochelle the Musical,2024-04-22,4,4,7,3,5,10,8,2,4,8,3,3,9,70,41,29,11,11,10
HaberMetrics,2024-04-23,3,6,12,1,11,6,6,4,6,6,12,9,1,83,45,38,8,10,8
Boba Chette,2024-04-23,1,1,1,4,10,1,1,1,1,4,2,1,11,39,19,20,14,13,13
Bug Monty,2024-04-23,9,10,10,14,12,14,14,11,14,10,13,11,11,153,83,70,2,2,1
FightinHorse&Buggies,2024-04-23,6,8,11,8,8,3,3,13,12,14,14,14,3,117,47,70,5,9,1
Forever Jung,2024-04-23,12,14,14,13,14,13,13,13,13,5,8,10,14,156,93,63,1,1,3
Friends O'Clyde,2024-04-23,13,10,8,11,6,9,10,11,9,8,6,11,13,125,67,58,4,4,4
Haders gonna Hate,2024-04-23,1,3,3,2,2,4,4,8,3,2,4,4,5,45,19,26,13,13,12
Hobo Ken,2024-04-23,8,12,2,6,5,7,9,8,7,11,8,11,7,101,49,52,6,7,6
Mighty Banshees,2024-04-23,14,12,13,10,4,11,12,10,8,12,10,7,10,133,76,57,3,3,5
Nola's Ark,2024-04-23,7,8,6,6,13,5,7,2,2,1,1,2,3,63,52,11,12,5,14
The Flying Rutschmen,2024-04-23,10,2,5,8,3,12,11,4,11,3,3,7,8,87,51,36,7,6,9
Lux Æterna,2024-04-23,5,6,4,4,9,2,2,6,9,12,11,6,2,78,32,46,10,12,7
Ya Gotta Beliebe,2024-04-23,11,5,8,12,1,7,5,6,5,7,5,4,5,81,49,32,9,7,10
Rochelle Rochelle the Musical,2024-04-23,4,4,6,3,6,10,8,2,4,9,6,3,8,73,41,32,11,11,10
HaberMetrics,2024-04-24,3,7,12,1,11,8,9,3,5,6,12,9,1,87,51,36,7,6,8
Boba Chette,2024-04-24,1,1,1,4,10,1,1,1,1,4,2,1,11,39,19,20,14,14,13
Bug Monty,2024-04-24,10,10,10,14,14,14,14,11,13,11,13,11,11,156,86,70,1,2,1
FightinHorse&Buggies,2024-04-24,6,9,11,7,9,2,3,13,12,14,14,14,2,116,47,69,5,9,2
Forever Jung,2024-04-24,12,14,14,13,13,13,13,13,14,5,5,9,14,152,92,60,2,1,3
Friends O'Clyde,2024-04-24,13,10,6,10,5,6,7,11,8,9,9,12,11,117,57,60,4,4,3
Haders gonna Hate,2024-04-24,2,3,2,2,3,5,5,9,3,3,5,4,4,50,22,28,13,13,11
Hobo Ken,2024-04-24,8,13,3,6,7,8,11,7,9,12,10,12,7,113,56,57,6,5,5
Mighty Banshees,2024-04-24,14,10,13,11,4,11,12,10,7,10,4,6,10,122,75,47,3,3,7
Nola's Ark,2024-04-24,7,7,6,7,12,4,6,3,2,1,1,2,2,60,49,11,12,7,14
The Flying Rutschmen,2024-04-24,9,2,4,9,2,12,9,3,11,2,3,6,9,81,47,34,9,9,9
Lux Æterna,2024-04-24,5,5,4,5,8,3,2,7,10,13,11,6,4,83,32,51,8,12,6
Ya Gotta Beliebe,2024-04-24,11,5,9,12,1,7,4,3,4,7,5,4,4,76,49,27,10,7,12
Rochelle Rochelle the Musical,2024-04-24,4,4,6,3,5,10,8,2,6,8,5,3,7,71,40,31,11,11,10
HaberMetrics,2024-04-25,3,7,11,1,11,7,8,3,5,6,12,9,1,84,48,36,9,9,8
Boba Chette,2024-04-25,1,1,1,3,9,1,1,1,1,4,2,1,9,35,17,18,14,14,13
Bug Monty,2024-04-25,10,9,7,14,13,13,13,12,13,11,13,10,9,147,79,68,2,2,2
FightinHorse&Buggies,2024-04-25,4,9,12,7,10,3,3,14,12,14,14,14,2,118,48,70,4,9,1
Forever Jung,2024-04-25,12,14,14,13,12,14,14,13,14,5,7,10,14,156,93,63,1,1,3
Friends O'Clyde,2024-04-25,13,9,6,10,7,5,6,11,7,8,8,12,9,111,56,55,5,4,5
Haders gonna Hate,2024-04-25,2,3,2,2,2,5,5,9,3,3,6,3,3,48,21,27,13,13,12
Hobo Ken,2024-04-25,8,12,2,6,6,8,11,8,9,12,10,13,6,111,53,58,5,5,4
Mighty Banshees,2024-04-25,14,12,13,11,4,11,12,10,8,10,4,6,9,124,77,47,3,3,7
Nola's Ark,2024-04-25,7,8,8,7,13,4,6,3,2,1,1,2,3,65,53,12,12,5,14
The Flying Rutschmen,2024-04-25,9,2,4,9,3,12,10,3,11,2,3,6,9,83,49,34,10,8,9
Lux Æterna,2024-04-25,4,5,5,5,8,2,2,6,10,13,11,6,8,85,31,54,7,12,6
Ya Gotta Beliebe,2024-04-25,11,6,10,12,1,8,4,6,4,7,8,5,3,85,52,33,7,7,10
Rochelle Rochelle the Musical,2024-04-25,4,4,9,4,5,10,9,2,6,9,4,3,6,75,45,30,11,11,11
HaberMetrics,2024-04-26,2,6,10,1,9,8,5,5,4,6,14,10,1,81,41,40,9,11,8
Boba Chette,2024-04-26,1,1,1,3,10,1,1,1,1,4,1,1,11,37,18,19,14,14,14
Bug Monty,2024-04-26,10,9,5,14,13,13,13,12,11,11,12,9,8,140,77,63,2,2,2
FightinHorse&Buggies,2024-04-26,4,9,12,7,11,2,3,14,13,14,12,14,2,117,48,69,4,8,1
Forever Jung,2024-04-26,13,14,14,13,14,14,14,13,14,5,6,10,14,158,96,62,1,1,3
Friends O'Clyde,2024-04-26,12,9,7,9,8,5,7,11,6,7,8,10,11,110,57,53,5,4,5
Haders gonna Hate,2024-04-26,2,3,3,2,2,6,8,9,2,1,6,2,3,49,26,23,13,13,12
Hobo Ken,2024-04-26,7,13,4,5,6,7,11,5,9,13,9,13,5,107,53,54,6,5,4
Mighty Banshees,2024-04-26,14,12,13,11,4,11,12,9,8,9,2,5,11,121,77,44,3,2,7
Nola's Ark,2024-04-26,7,8,8,8,12,4,6,5,3,3,3,3,3,73,53,20,12,5,13
The Flying Rutschmen,2024-04-26,9,2,2,10,3,12,10,3,10,2,4,5,8,80,48,32,10,8,10
Lux Æterna,2024-04-26,5,7,5,5,7,3,2,4,11,12,10,8,8,87,34,53,8,12,5
Ya Gotta Beliebe,2024-04-26,11,3,10,12,1,9,4,5,5,8,10,5,7,90,50,40,7,7,8
Rochelle Rochelle the Musical,2024-04-26,6,3,9,3,5,10,9,2,7,9,5,3,5,76,45,31,11,10,11
HaberMetrics,2024-04-27,2,5,11,1,10,7,6,5,4,6,13,10,1,81,42,39,10,10,9
Boba Chette,2024-04-27,1,1,1,3,9,1,1,1,1,4,1,1,13,38,17,21,14,14,12
Bug Monty,2024-04-27,12,10,6,14,14,12,13,12,14,7,12,9,8,143,81,62,2,2,2
FightinHorse&Buggies,2024-04-27,4,10,12,6,11,2,4,14,12,14,13,14,2,118,49,69,4,8,1
Forever Jung,2024-04-27,13,14,14,13,13,14,14,12,13,5,4,10,14,153,95,58,1,1,3
Friends O'Clyde,2024-04-27,10,9,7,9,7,4,5,10,5,9,8,10,11,104,51,53,6,6,4
Haders gonna Hate,2024-04-27,3,4,2,2,2,9,8,9,2,1,4,2,3,51,30,21,13,13,12
Hobo Ken,2024-04-27,8,12,5,6,6,7,10,5,8,13,8,13,5,106,54,52,5,5,5
Mighty Banshees,2024-04-27,14,12,13,12,4,11,12,11,9,10,3,4,11,126,78,48,3,3,7
Nola's Ark,2024-04-27,7,8,10,8,12,5,7,5,3,3,2,3,3,76,57,19,12,4,14
The Flying Rutschmen,2024-04-27,11,2,3,10,3,12,10,2,10,2,4,4,10,83,51,32,8,6,11
Lux Æterna,2024-04-27,5,5,4,5,7,3,2,3,11,12,10,8,8,83,31,52,8,12,5
Ya Gotta Beliebe,2024-04-27,9,3,8,11,1,6,3,8,6,8,11,4,7,85,41,44,7,11,8
Rochelle Rochelle the Musical,2024-04-27,6,7,8,3,5,10,9,3,6,11,4,4,5,81,48,33,10,9,10
HaberMetrics,2024-04-28,2,6,11,1,9,8,6,4,4,6,13,11,1,82,43,39,10,10,9
Boba Chette,2024-04-28,1,1,1,4,9,1,1,1,1,4,1,1,13,39,18,21,14,14,14
Bug Monty,2024-04-28,12,10,6,14,14,13,13,12,14,9,12,9,9,147,82,65,2,2,2
FightinHorse&Buggies,2024-04-28,3,9,12,5,11,2,4,14,11,14,13,13,2,113,46,67,4,9,1
Forever Jung,2024-04-28,12,14,14,13,12,14,14,13,13,5,7,11,14,156,93,63,1,1,3
Friends O'Clyde,2024-04-28,11,10,10,8,7,5,7,9,6,7,4,9,11,104,58,46,5,4,6
Haders gonna Hate,2024-04-28,4,4,2,2,2,9,7,10,2,1,5,2,2,52,30,22,13,13,13
Hobo Ken,2024-04-28,8,12,4,5,6,6,10,4,7,13,9,13,6,103,51,52,6,5,4
Mighty Banshees,2024-04-28,14,12,13,12,5,10,12,11,10,8,2,4,11,124,78,46,3,3,6
Nola's Ark,2024-04-28,7,7,7,9,12,4,5,7,3,3,3,3,4,74,51,23,12,5,12
The Flying Rutschmen,2024-04-28,10,2,3,10,3,12,9,4,12,2,7,4,9,87,49,38,8,8,10
Lux Æterna,2024-04-28,5,5,5,5,7,3,2,2,9,12,9,7,7,78,32,46,11,12,6
Ya Gotta Beliebe,2024-04-28,8,3,7,11,1,6,3,7,8,10,11,7,7,89,39,50,7,11,5
Rochelle Rochelle the Musical,2024-04-28,6,7,9,3,4,11,11,2,5,11,5,4,5,83,51,32,9,5,11
HaberMetrics,2024-04-29,2,5,11,1,7,9,8,3,4,6,13,10,1,80,43,37,11,10,10
Boba Chette,2024-04-29,1,1,1,4,10,1,1,1,1,4,1,1,11,38,19,19,14,14,14
Bug Monty,2024-04-29,12,10,5,14,14,13,13,12,14,9,12,10,9,147,81,66,2,2,1
FightinHorse&Buggies,2024-04-29,3,9,12,5,11,2,4,14,10,14,13,13,2,112,46,66,4,9,1
Forever Jung,2024-04-29,11,14,14,13,12,14,14,13,13,5,7,10,14,154,92,62,1,1,3
Friends O'Clyde,2024-04-29,13,10,8,9,7,5,7,9,6,7,4,8,11,104,59,45,6,4,7
Haders gonna Hate,2024-04-29,3,4,2,3,2,8,5,10,2,1,4,2,2,48,27,21,13,13,13
Hobo Ken,2024-04-29,9,13,4,7,6,5,9,5,9,13,9,13,5,107,53,54,5,6,4
Mighty Banshees,2024-04-29,14,12,13,12,5,10,12,11,8,8,1,4,11,121,78,43,3,3,8
Nola's Ark,2024-04-29,7,7,10,8,13,4,6,7,3,2,3,3,4,77,55,22,12,5,12
The Flying Rutschmen,2024-04-29,9,2,3,9,3,12,10,5,12,3,8,6,9,91,48,43,7,8,8
Lux Æterna,2024-04-29,5,6,6,5,7,3,3,3,11,12,9,8,8,86,35,51,8,12,5
Ya Gotta Beliebe,2024-04-29,8,2,7,11,1,7,2,7,7,10,11,6,7,86,38,48,8,11,6
Rochelle Rochelle the Musical,2024-04-29,6,7,9,2,4,11,11,2,5,11,6,4,5,83,50,33,10,7,11
HaberMetrics,2024-04-30,2,5,9,1,9,9,7,4,4,8,14,9,1,82,42,40,10,10,9
Boba Chette,2024-04-30,1,1,1,4,10,1,1,1,1,4,2,1,11,39,19,20,14,14,13
Bug Monty,2024-04-30,12,10,6,14,13,13,13,11,12,9,12,9,8,142,81,61,2,2,2
FightinHorse&Buggies,2024-04-30,3,9,11,5,11,2,3,14,9,14,13,13,2,109,44,65,5,9,1
Forever Jung,2024-04-30,11,14,14,13,12,14,13,13,13,5,6,9,14,151,91,60,1,1,3
Friends O'Clyde,2024-04-30,13,10,12,8,8,5,8,9,7,7,5,12,13,117,64,53,3,4,5
Haders gonna Hate,2024-04-30,5,4,2,2,2,8,6,11,2,1,4,2,3,52,29,23,13,13,12
Hobo Ken,2024-04-30,10,10,4,7,6,6,10,4,11,13,7,14,5,107,53,54,6,6,4
Mighty Banshees,2024-04-30,14,10,13,12,4,10,11,10,8,6,1,4,11,114,74,40,4,3,9
Nola's Ark,2024-04-30,7,7,9,8,14,4,5,4,3,2,3,2,4,72,54,18,12,5,14
The Flying Rutschmen,2024-04-30,9,2,3,10,3,12,9,3,14,3,10,7,8,93,48,45,7,8,7
Lux Æterna,2024-04-30,4,6,5,5,6,3,2,2,10,12,9,8,8,80,31,49,11,12,6
Ya Gotta Beliebe,2024-04-30,8,2,7,11,1,6,4,4,6,10,11,6,7,83,39,44,9,11,8
Rochelle Rochelle the Musical,2024-04-30,6,7,8,2,5,11,12,4,5,11,8,5,6,90,51,39,8,7,11
HaberMetrics,2024-05-01,2,5,8,1,7,9,7,5,4,8,13,7,1,77,39,38,11,10,11
Boba Chette,2024-05-01,1,1,1,3,10,1,1,1,1,4,1,1,10,36,18,18,14,14,14
Bug Monty,2024-05-01,12,10,6,14,13,13,13,10,12,9,11,7,6,136,81,55,2,2,3
FightinHorse&Buggies,2024-05-01,4,9,11,4,11,2,3,14,10,14,13,14,2,111,44,67,5,9,1
Forever Jung,2024-05-01,9,14,14,13,12,14,13,13,13,6,6,10,14,151,89,62,1,1,2
Friends O'Clyde,2024-05-01,13,13,12,9,9,7,10,7,5,5,2,10,13,115,73,42,4,4,9
Haders gonna Hate,2024-05-01,3,3,2,4,3,8,6,12,2,1,5,3,3,55,29,26,13,13,12
Hobo Ken,2024-05-01,11,10,4,7,6,5,7,4,9,12,7,13,4,99,50,49,6,7,4
Mighty Banshees,2024-05-01,14,10,13,12,5,10,11,10,8,7,2,4,11,117,75,42,3,3,9
Nola's Ark,2024-05-01,6,7,8,8,14,4,5,5,3,2,4,2,4,72,52,20,12,6,13
The Flying Rutschmen,2024-05-01,9,3,3,10,2,12,9,2,14,3,10,5,11,93,48,45,8,8,7
Lux Æterna,2024-05-01,4,6,5,4,7,3,2,2,11,10,8,10,6,78,31,47,10,12,6
Ya Gotta Beliebe,2024-05-01,8,2,7,11,1,6,4,7,7,11,11,7,6,88,39,49,9,10,4
Rochelle Rochelle the Musical,2024-05-01,7,8,10,2,4,11,12,7,6,13,8,5,6,99,54,45,6,5,7
HaberMetrics,2024-05-02,2,5,9,1,8,9,8,4,4,8,13,7,1,79,42,37,10,9,11
Boba Chette,2024-05-02,1,1,1,3,10,1,1,1,1,4,1,1,10,36,18,18,14,14,13
Bug Monty,2024-05-02,12,10,6,14,13,13,14,10,12,9,12,7,6,138,82,56,2,2,3
FightinHorse&Buggies,2024-05-02,3,9,9,4,11,2,3,14,9,14,13,14,2,107,41,66,5,10,1
Forever Jung,2024-05-02,11,14,14,13,12,14,13,13,14,5,6,10,14,153,91,62,1,1,2
Friends O'Clyde,2024-05-02,13,13,12,8,9,7,10,9,5,6,1,10,13,116,72,44,3,4,7
Haders gonna Hate,2024-05-02,5,3,2,6,3,8,7,12,2,1,5,3,2,59,34,25,13,12,12
Hobo Ken,2024-05-02,9,10,4,7,6,4,6,4,11,12,7,13,5,98,46,52,6,8,4
Mighty Banshees,2024-05-02,14,10,13,12,5,10,11,10,7,7,1,4,11,115,75,40,4,3,10
Nola's Ark,2024-05-02,6,7,9,10,14,5,5,4,3,2,1,2,4,72,56,16,12,5,14
The Flying Rutschmen,2024-05-02,10,3,3,9,1,12,9,2,13,3,10,5,11,91,47,44,8,7,7
Lux Æterna,2024-05-02,3,6,5,4,7,3,2,2,10,11,8,10,6,77,30,47,11,13,6
Ya Gotta Beliebe,2024-05-02,7,2,7,10,1,6,3,7,8,10,10,7,6,84,36,48,9,11,5
Rochelle Rochelle the Musical,2024-05-02,8,8,8,2,4,11,12,7,5,13,8,5,6,97,53,44,7,6,7
HaberMetrics,2024-05-03,3,5,8,1,8,8,7,4,4,9,13,9,1,80,40,40,10,10,10
Boba Chette,2024-05-03,1,1,1,3,10,1,1,1,1,4,1,1,6,32,18,14,14,14,14
Bug Monty,2024-05-03,12,12,6,14,13,14,14,11,13,6,10,9,6,140,85,55,2,2,3
FightinHorse&Buggies,2024-05-03,4,9,9,5,11,2,4,14,8,14,14,14,2,110,44,66,5,7,1
Forever Jung,2024-05-03,11,13,14,13,12,13,13,12,14,5,5,9,14,148,89,59,1,1,2
Friends O'Clyde,2024-05-03,12,13,12,8,6,7,11,8,6,7,4,12,12,118,69,49,3,4,5
